<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.07	22:00:00	1.31202	1.31232	1.31163	1.31178	1398	0	1
2020.01.07	23:00:00	1.31179	1.31212	1.31135	1.31203	1086	0	3
2020.01.08	00:00:00	1.31180	1.31263	1.31089	1.31154	1306	0	15
2020.01.08	01:00:00	1.31178	1.31193	1.31048	1.31134	1113	0	1
2020.01.08	02:00:00	1.31134	1.31194	1.31065	1.31115	2663	0	1
2020.01.08	03:00:00	1.31115	1.31211	1.31109	1.31169	2777	0	1
2020.01.08	04:00:00	1.31169	1.31398	1.31168	1.31329	2673	0	1
2020.01.08	05:00:00	1.31329	1.31390	1.31237	1.31307	1790	0	1
2020.01.08	06:00:00	1.31307	1.31342	1.31183	1.31207	1300	0	1
2020.01.08	07:00:00	1.31207	1.31242	1.31158	1.31175	1628	0	1
2020.01.08	08:00:00	1.31175	1.31337	1.31174	1.31294	1503	0	3
2020.01.08	09:00:00	1.31303	1.31620	1.31264	1.31522	2997	0	1
2020.01.08	10:00:00	1.31522	1.31694	1.31387	1.31658	4324	0	1
2020.01.08	11:00:00	1.31659	1.31692	1.31100	1.31199	3254	0	1
2020.01.08	12:00:00	1.31200	1.31357	1.30912	1.31199	4305	0	1
2020.01.08	13:00:00	1.31199	1.31243	1.30988	1.31087	3232	0	0
2020.01.08	14:00:00	1.31087	1.31194	1.30801	1.30927	4085	0	0
2020.01.08	15:00:00	1.30927	1.31248	1.30860	1.31218	3766	0	0
2020.01.08	16:00:00	1.31218	1.31390	1.31194	1.31248	3418	0	2
2020.01.08	17:00:00	1.31247	1.31334	1.30870	1.31002	3402	0	0
2020.01.08	18:00:00	1.30997	1.31086	1.30826	1.31084	4530	0	0
2020.01.08	19:00:00	1.31084	1.31168	1.31012	1.31047	3758	0	1
2020.01.08	20:00:00	1.31048	1.31060	1.30961	1.31030	1750	0	0
2020.01.08	21:00:00	1.31030	1.31032	1.30973	1.31008	2728	0	4
2020.01.08	22:00:00	1.31007	1.31030	1.30974	1.30977	1817	0	2
2020.01.08	23:00:00	1.30977	1.30990	1.30917	1.30938	1141	0	2
2020.01.09	00:00:00	1.30937	1.31015	1.30935	1.30985	557	0	4
2020.01.09	01:00:00	1.30987	1.31053	1.30956	1.31049	848	0	1
2020.01.09	02:00:00	1.31049	1.31119	1.31030	1.31091	1868	0	1
